tool	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 
run set	lpg	lpg	lpg	lpg	lpg	lpg	lpg	lpg_small	lpg_small	lpg_small	lpg_small	lpg_small	lpg_small	lpg_small
/home/nitin/app/benchmarks/benchexe/tasks/	status	cputime (s)	walltime (s)	memory (MB)	policy_size	solve_time	translation_time	status	cputime (s)	walltime (s)	memory (MB)	policy_size	solve_time	translation_time
AIJ_Barman_RND50_14.yml	false	1799.111909	1799.4672593576834	383.864832		-1	0.2661745697259903	false	1799.123917	1799.4607091182843	619.446272		-1	0.2697830777615309
AIJ_Barman_RND50_15.yml	false	1799.180205	1799.4673089189455	382.271488		-1	0.26533896289765835	true	1127.989461	1128.215948825702	450.674688	92551	1127.6630499325693	0.2880885433405638
AIJ_Barman_RND50_16.yml	false	1799.377731	1799.5732183791697	515.268608		-1	0.2689085779711604	false	1471.504476	1471.8662799997255	640.286720		-1	0.27840389870107174
AIJ_Barman_RND50_17.yml	false	1798.990779	1799.5609544385225	477.966336		-1	0.26366370916366577	false	1293.272291	1293.6156855747104	630.996992		-1	0.2736007058992982
AIJ_Barman_RND50_18.yml	false	1799.270969	1799.5584971262142	468.918272		-1	0.2730922717601061	false	1084.334117	1084.6035330565646	500.899840		-1	0.2662191716954112
AIJ_Barman_RND50_19.yml	false	1799.368816	1799.5609550941736	480.333824		-1	0.2699322886765003	false	1134.083627	1134.3570128986612	529.805312		-1	0.2648829584941268
AIJ_Barman_RND50_2.yml	false	1.966385	1.972798703238368	278.061056		-1	0.26646360382437706	true	21.625785	21.64183732587844	270.422016	5301	21.198768788017333	0.2676496487110853
AIJ_Barman_RND50_20.yml	false	1799.350061	1799.5564451683313	509.034496		-1	0.26904259622097015	false	1798.824295	1799.5407573683187	586.948608		-1	0.3117755902931094
AIJ_Barman_RND50_3.yml	true	724.315517	724.6025873254985	337.047552	48853	724.1016322579235	0.2815692778676748	true	102.625141	102.66304213367403	293.597184	27271	102.20122836902738	0.2692546285688877
AIJ_Barman_RND50_4.yml	false	9.463666	9.472398117184639	289.570816		-1	0.2610078686848283	true	86.107387	86.14186953753233	288.735232	25391	85.66695367638022	0.27013437263667583
AIJ_Barman_RND50_5.yml	true	781.370926	781.4792653936893	330.305536	46817	781.0094193601981	0.2678524060174823	true	25.24075	25.254261076450348	271.224832	7064	24.789541088975966	0.28394512459635735
AIJ_Barman_RND50_6.yml	false	1799.209488	1799.5717688389122	487.911424		-1	0.2611521342769265	true	472.380496	472.5246976111084	418.926592	74087	472.0255707446486	0.2641408834606409
AIJ_Barman_RND50_7.yml	false	1799.156984	1799.5354770487174	517.545984		-1	0.2753886766731739	true	563.157123	563.330032069236	445.140992	96254	562.8171361517161	0.2689920971170068
AIJ_Barman_RND50_8.yml	false	1798.633431	1799.4519356852397	523.804672		-1	0.2637219773605466	true	174.552642	174.60581983998418	304.955392	32071	174.11086603160948	0.27524780575186014
AIJ_Barman_RND50_9.yml	true	265.189732	265.2257435172796	293.134336	18277	264.783413907513	0.25980388931930065	true	43.03894	43.05720181297511	275.951616	7123	42.61973900720477	0.2612847751006484
AIJ_Barman_SCC56_1.yml	false	3.659356	3.665878601372242	277.688320		-1	0.26138985622674227	true	34.635086	34.651854758150876	273.854464	9535	34.2074103532359	0.2668223259970546
AIJ_Barman_SCC56_10.yml	true	652.875325	652.9675541585311	311.099392	41750	652.5119574712589	0.26128419023007154	true	116.871047	116.90280257537961	282.144768	17162	116.43616529554129	0.2719012340530753
AIJ_Barman_SCC56_11.yml	false	1799.130425	1799.4453807603568	363.200512		-1	0.26051961351186037	false	578.993617	579.1884371051565	337.965056		-1	0.2669096738100052
AIJ_Barman_SCC56_12.yml	false	1799.097183	1799.4797794185579	364.769280		-1	0.27367788925766945	false	736.956847	737.1468957513571	341.028864		-1	0.2930276393890381
AIJ_Barman_SCC56_13.yml	false	1799.23713	1799.4577413927764	364.486656		-1	0.27181033976376057	false	719.851878	720.0370427295566	340.770816		-1	0.27077172696590424
AIJ_Barman_SCC56_14.yml	false	1799.192071	1799.4890069616958	362.917888		-1	0.27111658174544573	false	1596.8019	1597.2677673976868	437.403648		-1	0.26555641274899244
