task,run,status,solved,cputime,walltime,memory_mb,policy_size,solve_time,translation_time,benchmark,set,domain,sub_domain,full_domain,instance
AIJ_Barman_SCC56_3.yml,pr2,true,True,2.553782,2.5618848563171923,44.62592,1642.0,2.0737136686220765,0.2995971799828112,"('AIJ', 'Barman', 'SCC56', '3')",AIJ,Barman,SCC56,Barman-SCC56,3
AIJ_Barman_SCC56_4.yml,pr2,true,True,2.465783,2.473076758440584,43.966464,1886.0,1.99150165123865,0.2939462549984455,"('AIJ', 'Barman', 'SCC56', '4')",AIJ,Barman,SCC56,Barman-SCC56,4
AIJ_Barman_SCC56_5.yml,pr2,true,True,2.217865,2.22539354627952,43.094016,1629.0,1.7420005667954683,0.2948452462442219,"('AIJ', 'Barman', 'SCC56', '5')",AIJ,Barman,SCC56,Barman-SCC56,5
AIJ_Barman_SCC56_6.yml,pr2,true,True,348.154717,348.20051464578137,123.826176,24069.0,347.6918810880743,0.2971959947608411,"('AIJ', 'Barman', 'SCC56', '6')",AIJ,Barman,SCC56,Barman-SCC56,6
AIJ_Barman_SCC56_7.yml,pr2,true,True,160.561082,160.5906168264337,106.754048,20302.0,160.1016246280633,0.2957175560295582,"('AIJ', 'Barman', 'SCC56', '7')",AIJ,Barman,SCC56,Barman-SCC56,7
AIJ_Barman_SCC56_8.yml,pr2,true,True,613.110479,613.1973332660273,155.492352,34429.0,612.6944901240058,0.2975598028860986,"('AIJ', 'Barman', 'SCC56', '8')",AIJ,Barman,SCC56,Barman-SCC56,8
AIJ_Barman_SCC56_9.yml,pr2,true,True,308.380493,308.4293875019066,121.675776,24326.0,307.9215273107402,0.3044816139154136,"('AIJ', 'Barman', 'SCC56', '9')",AIJ,Barman,SCC56,Barman-SCC56,9
AIJ_BlocksWorld_EIGHT4-51_10.yml,pr2,true,True,1.141542,1.149297138676047,40.71424,62.0,0.7062864722684026,0.2470791060477495,"('AIJ', 'BlocksWorld', 'EIGHT4-51', '10')",AIJ,BlocksWorld,EIGHT4-51,BlocksWorld-EIGHT4-51,10
AIJ_BlocksWorld_EIGHT4-51_13.yml,pr2,true,True,1.926316,1.9340660218149424,45.371392,69.0,1.497690387070179,0.2493878458626568,"('AIJ', 'BlocksWorld', 'EIGHT4-51', '13')",AIJ,BlocksWorld,EIGHT4-51,BlocksWorld-EIGHT4-51,13
AIJ_BlocksWorld_EIGHT4-51_16.yml,pr2,true,True,2.551503,2.559850570745766,45.965312,103.0,2.1203117589466274,0.250982959754765,"('AIJ', 'BlocksWorld', 'EIGHT4-51', '16')",AIJ,BlocksWorld,EIGHT4-51,BlocksWorld-EIGHT4-51,16
AIJ_BlocksWorld_EIGHT4-51_19.yml,pr2,true,True,5.265444,5.273589538875967,60.186624,132.0,4.825212806928903,0.2601342108100652,"('AIJ', 'BlocksWorld', 'EIGHT4-51', '19')",AIJ,BlocksWorld,EIGHT4-51,BlocksWorld-EIGHT4-51,19
AIJ_BlocksWorld_EIGHT4-51_22.yml,pr2,true,True,11.747839,11.756147822830826,95.338496,140.0,11.305943172890691,0.2594920680858195,"('AIJ', 'BlocksWorld', 'EIGHT4-51', '22')",AIJ,BlocksWorld,EIGHT4-51,BlocksWorld-EIGHT4-51,22
AIJ_BlocksWorld_EIGHT4-51_25.yml,pr2,true,True,20.633315,20.6428983528167,149.23776,146.0,20.19274423411116,0.2607213757000863,"('AIJ', 'BlocksWorld', 'EIGHT4-51', '25')",AIJ,BlocksWorld,EIGHT4-51,BlocksWorld-EIGHT4-51,25
AIJ_BlocksWorld_EIGHT4-51_28.yml,pr2,true,True,23.235525,23.24471007706597,147.791872,142.0,22.7891626781784,0.2667752592824399,"('AIJ', 'BlocksWorld', 'EIGHT4-51', '28')",AIJ,BlocksWorld,EIGHT4-51,BlocksWorld-EIGHT4-51,28
AIJ_BlocksWorld_EIGHT4-51_31.yml,pr2,true,True,66.641566,66.65552723687142,405.93408,217.0,66.185878619086,0.2675319910049438,"('AIJ', 'BlocksWorld', 'EIGHT4-51', '31')",AIJ,BlocksWorld,EIGHT4-51,BlocksWorld-EIGHT4-51,31
AIJ_BlocksWorld_EIGHT4-51_34.yml,pr2,true,True,51.198077,51.21279968507588,269.0048,219.0,50.741924634668976,0.275990532245487,"('AIJ', 'BlocksWorld', 'EIGHT4-51', '34')",AIJ,BlocksWorld,EIGHT4-51,BlocksWorld-EIGHT4-51,34
AIJ_BlocksWorld_EIGHT4-51_37.yml,pr2,true,True,60.59184,60.6044680387713,457.121792,227.0,60.10188237996772,0.2983002299442887,"('AIJ', 'BlocksWorld', 'EIGHT4-51', '37')",AIJ,BlocksWorld,EIGHT4-51,BlocksWorld-EIGHT4-51,37
AIJ_BlocksWorld_EIGHT4-51_4.yml,pr2,true,True,0.715045,0.7239307686686516,37.748736,24.0,0.2834297427907586,0.2482118760235607,"('AIJ', 'BlocksWorld', 'EIGHT4-51', '4')",AIJ,BlocksWorld,EIGHT4-51,BlocksWorld-EIGHT4-51,4
AIJ_BlocksWorld_EIGHT4-51_40.yml,pr2,true,True,45.317103,45.32984800823033,300.843008,232.0,44.84815999260172,0.2879724008962512,"('AIJ', 'BlocksWorld', 'EIGHT4-51', '40')",AIJ,BlocksWorld,EIGHT4-51,BlocksWorld-EIGHT4-51,40
AIJ_BlocksWorld_EIGHT4-51_43.yml,pr2,true,True,50.728863,50.74132867483422,365.645824,428.0,50.267623773776,0.2806455139070749,"('AIJ', 'BlocksWorld', 'EIGHT4-51', '43')",AIJ,BlocksWorld,EIGHT4-51,BlocksWorld-EIGHT4-51,43
